item_id,tracking,meeting_date,portal_http,tracking_match,title_match,date_found,site_page,attach_check,note
14456,RES 2021 #175,2021-08-02,200,exact,prefix,yes,yes,,truncated side: ours (39 vs 40 chars)
20731,POR 2023 #167,2023-10-02,200,exact,prefix,yes,yes,,truncated side: ours (211 vs 212 chars)
31112,POR 2025 #144,2025-10-20,200,exact,prefix,yes,yes,,truncated side: ours (326 vs 327 chars)
16100,AR-22-22,2022-04-25,200,exact,prefix,yes,none,,truncated side: ours (83 vs 84 chars)
20324,RES 2023 #234,2023-09-11,200,exact,exact,yes,yes,,
8095,COM 713 #2018,2018-11-19,200,exact,prefix,yes,none,,truncated side: ours (99 vs 100 chars)
8066,RES 2018 #363,2018-11-19,200,exact,prefix,yes,yes,,truncated side: ours (47 vs 48 chars)
8635,CMA 2019 #21,2019-02-11,200,exact,prefix,yes,yes,pdf-ok,truncated side: ours (160 vs 161 chars)
13430,CMA 2021 #22,2021-02-08,200,exact,prefix,yes,yes,,truncated side: ours (121 vs 122 chars)
26081,RES 2024 #270,2024-11-04,200,exact,prefix,yes,yes,,truncated side: ours (108 vs 109 chars)
6145,POR 2018 #10,2018-01-22,200,exact,prefix,yes,yes,,truncated side: ours (194 vs 195 chars)
12276,CMA 2020 #165,2020-07-27,200,exact,prefix,yes,yes,,truncated side: ours (593 vs 594 chars)
14260,CMA 2021 #159,2021-06-14,200,exact,prefix,yes,yes,,truncated side: ours (551 vs 552 chars)
16855,POR 2022 #169,2022-09-19,200,exact,prefix,yes,yes,,truncated side: ours (392 vs 393 chars)
8745,RES 2019 #67,2019-02-25,200,exact,prefix,yes,yes,,truncated side: ours (39 vs 40 chars)
7537,POR 2018 #205,2018-09-17,200,exact,prefix,yes,yes,,truncated side: ours (304 vs 305 chars)
24673,RES 2024 #169,2024-06-24,200,exact,prefix,yes,yes,,truncated side: ours (105 vs 106 chars)
27795,RES 2025 #48,2025-03-03,200,exact,exact,yes,yes,,
7238,RES 2018 #197,2018-06-18,200,exact,prefix,yes,yes,,truncated side: ours (141 vs 142 chars)
14768,POR 2021 #204,2021-10-04,200,exact,prefix,yes,yes,,truncated side: ours (151 vs 152 chars)
15610,POR 2022 #25,2022-02-28,200,exact,prefix,yes,yes,,truncated side: ours (231 vs 232 chars)
31524,RES 2025 #280,2025-12-15,200,exact,prefix,yes,yes,,truncated side: ours (84 vs 85 chars)
6585,COM 218 #2018,2018-03-05,200,exact,prefix,yes,none,,truncated side: ours (142 vs 143 chars)
26090,CMA 2024 #233,2024-11-04,200,exact,prefix,yes,yes,,truncated side: ours (278 vs 279 chars)
16350,POR 2022 #105,2022-05-23,200,exact,prefix,yes,yes,,truncated side: ours (212 vs 213 chars)
20528,CMA 2023 #232,2023-09-11,200,exact,prefix,yes,yes,,truncated side: ours (545 vs 546 chars)
24751,RES 2024 #180,2024-06-24,200,exact,exact,yes,yes,,
6654,COM 249 #2018,2018-03-19,200,exact,prefix,yes,none,,truncated side: ours (158 vs 159 chars)
18107,POR 2023 #24,2023-02-06,200,exact,prefix,yes,yes,,truncated side: ours (283 vs 284 chars)
8492,RES 2019 #30,2019-01-28,200,exact,exact,yes,yes,,
29251,RES 2025 #92,2025-04-14,200,exact,exact,yes,yes,,
19107,RES 2023 #123,2023-04-24,200,exact,prefix,yes,yes,,truncated side: ours (77 vs 78 chars)
20274,CMA 2023 #194,2023-08-07,200,exact,prefix,yes,yes,,truncated side: ours (159 vs 160 chars)
14397,CMA 2021 #178,2021-06-28,200,exact,prefix,yes,yes,,truncated side: ours (298 vs 299 chars)
13496,POR 2021 #30,2021-02-22,200,exact,exact,yes,yes,,
18465,CMA 2023 #64,2023-02-27,200,exact,prefix,yes,yes,,truncated side: ours (145 vs 146 chars)
7778,RES 2018 #321,2018-10-15,200,exact,prefix,yes,yes,,truncated side: ours (69 vs 70 chars)
16361,RES 2022 #129,2022-05-23,200,exact,exact,yes,yes,,
25933,RES 2024 #250,2024-10-21,200,exact,prefix,yes,yes,,truncated side: ours (49 vs 50 chars)
8645,AR-19-17,2019-02-11,200,exact,prefix,yes,none,,truncated side: ours (235 vs 236 chars)
22011,POR 2024 #11,2024-01-29,200,exact,exact,yes,yes,,
6342,RES 2018 #36,2018-02-12,200,exact,prefix,yes,yes,,truncated side: ours (42 vs 43 chars)
7584,CMA 2018 #220,2018-09-17,200,exact,prefix,yes,yes,,truncated side: ours (531 vs 532 chars)
9485,POR 2019 #203,2019-06-10,200,exact,prefix,yes,yes,,truncated side: ours (378 vs 379 chars)
16741,AR-22-50,2022-09-12,200,exact,prefix,yes,none,,truncated side: ours (52 vs 53 chars)
10076,POR 2019 #280,2019-09-09,200,exact,prefix,yes,yes,,truncated side: ours (178 vs 179 chars)
13715,RES 2021 #79,2021-03-22,200,exact,prefix,yes,yes,,truncated side: ours (46 vs 47 chars)
25940,CMA 2024 #230,2024-10-21,200,exact,prefix,yes,yes,,truncated side: ours (298 vs 299 chars)
8971,CMA 2019 #91,2019-04-08,200,exact,exact,yes,yes,,
17379,POR 2022 #288,2022-11-07,200,exact,exact,yes,yes,pdf-ok,
