item_id,tracking,verdict,db_status,live_status,sponsors_match,votes_match
13044,RES 2020 #288,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
13730,CMA 2021 #56,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
6291,COM 81 #2018,exact,PLACED ON FILE,PLACED ON FILE,True,True
24882,CMA 2024 #159,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
7846,CMA 2018 #263,exact,PLACED ON FILE,PLACED ON FILE,True,True
14403,POR 2021 #155,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
11622,RES 2020 #92,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
8330,COM 797 #2018,exact,PLACED ON FILE,PLACED ON FILE,True,True
21934,RES 2024 #37,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
7251,CMA 2018 #153,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
28010,CMA 2025 #64,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
16521,RES 2022 #146,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
14113,APP 2021 #27,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
6654,COM 249 #2018,exact,PLACED ON FILE,PLACED ON FILE,True,True
12556,RES 2020 #229,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
6312,CMA 2018 #32,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
30192,AR-25-37,exact,REPORT RECEIVED AND ACCEPTED,REPORT RECEIVED AND ACCEPTED,True,True
29327,POR 2025 #70,exact,ORDER ADOPTED AS AMENDED [8 TO 0],ORDER ADOPTED AS AMENDED [8 TO 0],True,True
12598,RES 2020 #234,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
8012,RES 2018 #357,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
22550,CMA 2024 #66,exact,PLACED ON FILE,PLACED ON FILE,True,True
26966,POR 2025 #2,exact,ORDER ADOPTED [7 TO 2],ORDER ADOPTED [7 TO 2],True,True
29779,POR 2025 #79,exact,ORDER ADOPTED AS AMENDED [8 TO 0],ORDER ADOPTED AS AMENDED [8 TO 0],True,True
14255,RES 2021 #160,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
19834,RES 2023 #182,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
16079,RES 2022 #92,exact,ORDER ADOPTED [8 TO 1],ORDER ADOPTED [8 TO 1],True,True
16993,CMA 2022 #190,exact,PLACED ON FILE [8 TO 1],PLACED ON FILE [8 TO 1],True,True
17716,AR-22-85,exact,REPORT RECEIVED AND ACCEPTED,REPORT RECEIVED AND ACCEPTED,True,True
7539,RES 2018 #267,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
7346,RES 2018 #225,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
6508,CMA 2018 #57,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
11498,CMA 2020 #69,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
16463,COM 526 #2022,exact,,,True,True
10422,RES 2019 #310,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
16849,CMA 2022 #181,exact,PLACED ON FILE [UNANIMOUS],PLACED ON FILE [UNANIMOUS],True,True
16348,POR 2022 #104,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
6452,POR 2018 #54,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
17695,RES 2022 #316,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
26708,POR 2024 #159,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
8146,POR 2018 #299,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
16080,RES 2022 #93,exact,ORDER ADOPTED [8 TO 1],ORDER ADOPTED [8 TO 1],True,True
30270,POR 2025 #92,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
20866,APP 2023 #54,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
7232,CMA 2018 #137,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
17272,POR 2022 #281,exact,ORDER ADOPTED AS AMENDED [UNANIMOUS],ORDER ADOPTED AS AMENDED [UNANIMOUS],True,True
19506,POR 2023 #90,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
